Data,Rede Publica,Adulto (total),Geral,Gestante,Oncologico,Cardiaco,Infantil,Rede Privada,Total
21-03-15,"89,01%","93,90%","97,44%","50,00%","0,00%","0,00%","50,00%","40,00%","82,08%"
21-03-17,"86,17%","94,12%","97,53%","50,00%","0,00%","0,00%","12,50%","33,33%","78,90%"
21-03-19,"82,98%","87,88%","89,84%","50,00%","0,00%","0,00%","12,50%","28,57%","78,06%"
21-03-21,"82,17%","87,50%","88,79%","100,00%","0,00%","0,00%","12,50%","30,77%","77,46%"
21-03-23,"80,00%","85,50%","87,40%","50,00%","0,00%","0,00%","0,00%","28,57%","75,32%"
21-03-24,"70,64%","77,00%","78,13%","100,00%","0,00%","0,00%","0,00%","21,43%","65,04%"
21-03-26,"80,00%","82,40%","85,12%","0,00%","0,00%","0,00%","25,00%","25,00%","73,97%"
21-03-28,"81,68%","86,07%","88,14%","50,00%","0,00%","0,00%","25,00%","12,50%","77,70%"
21-03-30,"77,50%","82,88%","85,05%","50,00%","0,00%","0,00%","12,50%","21,43%","71,64%"
21-04-01,"87,36%","90,75%","91,72%","100,00%","0,00%","0,00%","25,00%","21,43%","82,65%"
21-04-03,"88,27%","91,76%","93,37%","50,00%","0,00%","0,00%","25,00%","0,00%","81,87%"
21-04-05,"74,58%","79,82%","82,86%","0,00%","0,00%","0,00%","12,50%","7,14%","67,42%"
21-04-05,"74,58%","79,82%","82,86%","0,00%","0,00%","0,00%","12,50%","7,14%","67,42%"
21-04-07,"81,34%","84,80%","86,78%","50,00%","0,00%","0,00%","37,50%","28,57%","76,35%"
21-04-09,"81,38%","85,93%","87,79%","50,00%","0,00%","0,00%","22,22%","28,57%","76,73%"
21-04-11,"87,75%","89,74%","91,10%","50,00%","0,00%","0,00%","50,00%","14,29%","83,03%"
21-04-12,"79,23%","82,64%","85,47%","0,00%","0,00%","0,00%","37,50%","21,43%","73,61%"
21-04-14,"86,11%","89,05%","91,73%","0,00%","0,00%","0,00%","33,33%","21,43%","80,38%"
21-04-14,"86,11%","89,05%","91,73%","0,00%","0,00%","0,00%","33,33%","21,43%","80,38%"
21-04-15,"87,18%","91,40%","93,41%","0,00%","0,00%","0,00%","0,00%","14,29%","82,30%"
21-04-16,"80,60%","84,80%","86,78%","50,00%","0,00%","0,00%","25,00%","21,43%","75,00%"
21-04-17,"85,19%","88,89%","93,33%","0,00%","0,00%","0,00%","37,50%","0,00%","77,18%"
21-04-18,"85,82%","90,15%","93,70%","0,00%","0,00%","0,00%","25,00%","0,00%","78,06%"
